Japanisch;Deutsch
かんたん「な」;einfach, leicht
ちかい;nah
とおい;fern, weit
はやい;schnell, früh
おそい;spät, langsam
おおい「ひとが」;viel, viele (Menschen)
すくない「ひとが」;wenig, wenige (Menschen)
あたたかい;warm
すずしい;kühl
あまい;süß
からい;scharf
おもい;schwer
かるい;leicht
いい「コーヒーが」;(Kaffee) bevorzugen, (Kaffee) ist mir lieber

きせつ;Jahreszeiten
はる;Frühling
なつ;Sommer
あき;Herbst
ふゆ;Winter

てんき;Wetter
あめ;Regen
ゆき;Schnee
くもり;bewölktes Wetter

ホテル;Hotel
くうこう;Flughafen
うみ;Meer

せかい;Welt

パーティー;Party
「お」まつり;Fest, Festival

すきやき;Sukiyaki
さしみ;Sashimi
「お」すし;Sushi
てんぷら;Tenpura
ぶたにく;Schweinefleisch
とりにく;Hühnerfleisch
ぎゅうにく;Rindfleisch

レモン;Zitrone

いけばな;Ikbana(Blumensteckkunst)

もみじ;Ahorn, rote Ahornblätter im Herbst

どちら;welche/-r/-s
どちらも;beide/-s

いちばん;am meisten
ずっと;bei weitem
はじめて;zum ersten Mal

ただいま。;Bin wieder da!
おかえりなさい。;Schön, dass du wieder da bist!
わあ、すごい　ひと　です　ね。;Oh, so viele Menschen
つかれました。;Ich bin müde./Es war anstrengend.

ぎおんまつり;Gion-Fest(bekanntes Fest in Kyoto)
ホンコン;Hongkong
シンガポール;Singapur
