Japanisch;Deutsch;Kanji
おんがく;Musik;音楽
ポップス;Pop;
ロック;Rock;
ジャズ;Jazz;
ラテン;lateinamerikanishce Musik;
クラシック;Klassik;
みんよう;Volkslied;民謡
えんか;japanischer volkstümlicher Schlager;演歌
ミュージカル;Musical;
オペラ;Oper;

えいが;Filme;映画
ＳＦ;Science-Fiction;
ホラー;Horror;
アニメ;Zeichentrickfilm;
ドキュメンタリー;Dokumentarfilm;
れんあい;Liebesfilm;恋愛
ミステリー;Krimi;文芸
ぶんげい;Literaturverfilmung;
せんそう;Kriegsfilm;戦争
アクション;Actionfilm;
きげき;Komödie;喜劇

スポーツ;Sport;
ソフトボール;Softball;
サッカー;Fußball;
ラグビー;Rugby;
バレーボール;Volleyball;
バスケットボール;Basketball;
テニス;Tennis;
ボウリング;Bowling;
スキー;Ski;
スケート;Eislaufen;
やきゅう;Baseball;野球
たっきゅう/ピンポン;Tischtennis;卓球
すもう;Sumo;相撲
じゅうどう;Judo;柔道
けんどう;Japanischer Schwertkampf;剣道
すいえい;Schwimmen;水泳
